district,state,homepage,index_score,tier,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,evidence_public_ai_policy_exists,ai_use_publicly_disclosed,evidence_ai_use_publicly_disclosed,oversight_named,evidence_oversight_named,board_policy_mentions_ai,evidence_board_policy_mentions_ai,public_contact_available,evidence_public_contact_available
Plainview-Old Bethpage Central School District,NY,https://www.pobschools.org/,30,Minimal Transparency,https://www.pobschools.org/boe,https://www.pobschools.org/offices/central-office-of-technology,,Missing: contact (crawl limited),2,0,,0,,1,"ation For questions or concerns about this Privacy Statement or your data: Plainview-Old Bethpage Central School District Mr. Alex Goldberg Director of Technology Phone: (516) 434-3090 email Attn: Data Privacy Officer Last Updated: May, 27 2025 Logo Image Logo Title Plainview-Old…",0,,1,ns (opens in new window/tab) For Staff (opens in new window/tab) For Students (opens in new window/tab) Parent Portal Information Families *Staff Directory Child Abuse Reporting Child Care Delayed Openings Erin's Law FERPA Information Naviance ParentSquare (opens in new window/ta…
Wappingers Central School District,NY,https://www.wappingersschools.org/,30,Minimal Transparency,https://www.wappingersschools.org/becoming-a-boe-candidate-guidelin-2,,https://www.wappingersschools.org/staff,Missing: tech (crawl limited),2,0,,0,,1,itive Behavioral Interventions And Supports (PBIS) Procedural Safeguards Notice: Rights for Parents of Children with Disabilities (English) Superintendent Superintendent Home Strategic Planning Technology Support Services TSS - Home Google MFA District Forms Student Forms 25/26 C…,0,,1,"orporate Park Drive / P.O. Box 396 / Hopewell Junction, NY 12533 / PH: 845.298.5000 Schools Home Board Of Education Welcome to the BOE Page Contact the Board of Education BoardDocs BOE Meetings: YouTube Budget 2026-27 Facility Usage Form Tax Rate Information Archived Budget Infor…"
Arlington Central School District,NY,https://www.arlingtonschools.org/,10,No Public AI Governance Signals,https://www.arlingtonschools.org/o/acsd/page/board-of-education,,https://www.arlingtonschools.org/o/acsd/page/staff-resources,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,Home | Arlington Central School District Skip to content SchoolTool/Parent Portal ParentSquare Join Our Team Staff Resources Contact Us Search site Arlington Central School District - SchoolTool/Parent Portal ParentSquare Join Our Team Staff Resources Contact Us Search si…
North Syracuse Central School District,NY,https://www.nscsd.org/,30,Minimal Transparency,,,https://www.nscsd.org/contact,"Missing: policy, tech (crawl limited)",2,0,,0,,1,"of Schools, Dr. Terry L. Ward Building Space Usage (Outside Organizations) Step 1: Fill out request form Step 2: Building Principal Step 3: Director of Facilities, Matthew Erwin Step 4: Associate Superintendent for Business Services, Donald F.X. Keegan Step 5: Superintendent of S…",0,,1,"cipal Smith Road Elementary 5959 Smith Road North Syracuse, NY 13212 Main Office: (315) 218-2800 Lyndsey Maloney, Principal Connect With Us Staff Directory Menus SchoolTool NSCSD Tips ParentSquare Peachjar DEPARTMENTS Departments Athletics Business Services Communications Curricu…"
Fayetteville-Manlius Central School District,NY,https://www.fmschools.org/,30,Minimal Transparency,https://www.fmschools.org/about-us/policies-procedures-required-notifications/students-and-personal-electronic-devices-policy/,,https://www.fmschools.org/contact-us/,Missing: tech (crawl limited),2,0,,0,,1,"Square Pickup Patrol Schoology SchoolTool YouTube 8199 East Seneca Turnpike, Manlius, NY 13104 • Phone: (315) 692-1234 • Dr. Craig J. Tice, Superintendent This website is maintained by the Fayetteville-Manlius School District communications office. It is the goal of the Fayettevi…",0,,1,l Mott Road Elementary School Eagle Hill Middle School Wellwood Middle School Fayetteville-Manlius High School Home » Contact Us Contact Us Staff Directory Search for faculty and staff by typing one of these options in the box below: first name last name school email job title Se…
Liverpool Central School District,NY,https://www.liverpool.k12.ny.us/,30,Minimal Transparency,https://www.liverpool.k12.ny.us/policies-codes/index,,https://www.liverpool.k12.ny.us/about/staff-directory,Missing: tech (crawl limited),2,0,,0,,1,Liverpool Central School District | Liverpool Central SD Skip to Main Content Directory Translate Search Site Open main menu Search Mobile Site Visit Us on Facebook (opens in new window) Follow us on Twitter (opens in new window) Home About Show sub menu for About Administration …,0,,1,ite Visit Us on Facebook (opens in new window) Follow us on Twitter (opens in new window) Home About Show sub menu for About Administration Staff Directory Strategic Plan Strategic Planning Process Superintendent's Office Board of Education Budget Committees FOIL Requests Guide f…
Williamsville Central School District,NY,https://www.williamsvillek12.org/,30,Minimal Transparency,https://www.williamsvillek12.org/about-us/district-profile/cell-phone-policy,,https://www.williamsvillek12.org/about-us/district-profile/contact-us,Missing: tech (crawl limited),2,0,,0,,1,"in Content Close Menu Search Clear Search About Us District Profile District Calendar Contact Us District Vote District Newsletter District Directory Diversity, Equity, and Inclusion Plan Parent Organizations Strategic Plan Street Directory Distraction-Free School Zones Distracti…",0,,1,"ome - Williamsville Central School District Skip To Main Content Close Menu Search Clear Search About Us District Profile District Calendar Contact Us District Vote District Newsletter District Directory Diversity, Equity, and Inclusion Plan Parent Organizations Strategic Plan St…"
Orchard Park Central School District,NY,https://www.orchardparksschools.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Cheektowaga Central School District,NY,https://www.cheektowagak12.org/,30,Minimal Transparency,https://www.cheektowagak12.org/board-of-education01/boe-intercom-documents,https://www.cheektowagak12.org/district/district-departments/technology-department,,Missing: contact (crawl limited),2,0,,0,,1,lities Capital Projects Food Service Health Office of Learning ESSA Title Programs Office of Pupil Services Special Education Office of the Superintendent Technology Department Chromebook Expectation Incident Reporting Parents' Bill of Rights Technology Documents Transportation D…,0,,1,c Schedule (opens in new window/tab) Calendars Newsletters Virtual Backpack Menus Registration Portal Login Parents / Students Contact Us / Staff Directory News & Events News Events News Ramadan Meals Notification Now Accepting Nominations for the Athletic Hall of Fame CCMS Janua…
West Genesee Central School District,NY,https://www.westgenesee.org/,10,No Public AI Governance Signals,https://www.westgenesee.org/o/wgcsd/page/board-of-education-overview,,https://www.westgenesee.org/o/wgcsd/page/staff,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,Home | West Genesee Central School District Skip to content Parents/Students Staff Community Contact Us Calendars Search site West Genesee Central School District We Celebrate Learning! Parents/Students Staff Community Contact Us Calendars…
Guilderland Central School District,NY,https://www.guilderlandschools.org/,30,Minimal Transparency,https://www.guilderlandschools.org/board-of-education/policies/,,https://www.guilderlandschools.org/contact-us/,Missing: tech (crawl limited),2,0,,0,,1,"-0018 Phone: 518-456-6200 Fax: 518-456-1152 Hours: 7:30 a.m. – 4:30 p.m. Daniel Mayberry, Superintendent of Schools 518-456-6200, ext. 0102 superintendent@guilderlandschools.net This website is maintained by the district’s Communications Office . It is the goal of the district th…",0,,1,"ilderland Elementary Lynnwood Elementary Pine Bush Elementary Westmere Elementary Farnsworth MS Guilderland HS Home > Contact Us Contact Us Staff Directory Search for faculty and staff by typing ONE of these options in the box below: first name, last name or email. Tip: If you do…"
Niskayuna Central School District,NY,https://www.niskayuna.k12.ny.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
East Greenbush Central School District,NY,https://egcsd.org/,30,Minimal Transparency,https://egcsd.org/board-of-education/policy-manual/,,https://egcsd.org/staff-resources/,Missing: tech (crawl limited),2,0,,0,,1,ent by Governor Charlie Baker to serve as the Director of the Massachusetts Emergency Management Agency and serving under two mayors as the Director of Emergency Management for the City of Philadelphia. I also led a research and training center at SUNY Albany and served as a Prof…,0,,1,"will reopen on Monday, February 23. Have a safe and enjoyable break! School Calendar Follow Follow Search for: Employment Powerschool Staff Contact Us Schools Columbia High School Goff Middle School Bell Top Elementary School Donald P. Sutherland Genet Elementary School Green Mea…"
Webster Central School District,NY,https://www.websterschools.org/,30,Minimal Transparency,https://www.websterschools.org/board,,https://www.websterschools.org/getstaffOrgs.cfm,Missing: tech (crawl limited),2,0,,0,,1,"intendent for Administration and HR (585) 216-0011 Brian Freeman, Assistant Superintendent for Business (585) 216-0017 Click here for staff directory Website Feedback Academic, Athletic, and Extracurricular websites Search Site DISTRICT District Info About Us District Budget Fami…",0,,1,"Superintendent for Administration and HR (585) 216-0011 Brian Freeman, Assistant Superintendent for Business (585) 216-0017 Click here for staff directory Website Feedback Academic, Athletic, and Extracurricular websites Search Site DISTRICT District Info About Us District Budget…"
Fairport Central School District,NY,https://www.fairport.org/,30,Minimal Transparency,https://www.fairport.org/smartdevicepolicy,,,"Missing: tech, contact (crawl limited)",2,0,,0,,1,buse Prevention E-Cigs Prescription Drug Crisis Treatment for Substance Abuse Youth Risk Behavior Survey Results Student Name/Gender Change Superintendent’s Office Technology Services Acceptable Use Policy Fairport Guest Wireless Network Data Privacy Data Breach Complaint Form LA…,0,,1,"for parents/guardians to communicate with their students during the school day is important to Fairport families. Parents/guardians should contact the school office via phone for any urgent needs during the school day, or use other appropriate means to contact their children duri…"
Houston Independent School District,TX,https://www.houstonisd.org/,30,Minimal Transparency,https://www.houstonisd.org/families-students/student-requirements-expectations/technology-acceptable-use-policies,https://www.houstonisd.org/families-students/student-requirements-expectations/technology-acceptable-use-policies,https://www.houstonisd.org/schools-academics/extracurricular-activities-uil/uil-staff,,2,0,,0,,1,es Policies The HISD Police Department operates under a set of official directives—comprehensive policies and procedures established by the Chief of Police with the approval of the Superintendent and the HISD Board of Trustees. These directives reflect the department’s commitment…,0,,1,tion Program Our Team Testimonials Certification Information How to Apply HISD ACP Program Fees Transfer In or Out of HISD ACP ACP Calendar Contact HISD Family Quick Links Family Connections Center Family Corner Parent Portal (opens in new window/tab) Canvas (opens in new window/…
Dallas Independent School District,TX,https://www.dallasisd.org/,30,Minimal Transparency,https://www.dallasisd.org/board-of-trustees/board-policy-and-procedures/board-policy,,https://www.dallasisd.org/team-dallas-isd/team-dallas-isd-resources/staff-resources,Missing: tech (crawl limited),2,0,,0,,1,tiative (APEI) School Counselor Excellence Initiative (SCEI) Teacher Excellence Initiative (TEI) Dallas Librarian Appraisal (DLA) Executive Director Excellence Initiative (EDEI) Professional Development Technology Resources Employee Records Request District Support Initiative Hor…,0,,1,Employee Records Request District Support Initiative Volunteer Partners and Volunteers Volunteers Partnerships Donations Campus Coordinator Contact Us About About Dallas ISD Welcoming and protective schools About Our Schools Public Information Portal Bond Program Information (ope…
Cypress-Fairbanks Independent School District,TX,https://www.cfisd.net/,30,Minimal Transparency,https://www.cfisd.net/departments/technology-information-services/cybersecurity/cybersecurity-awareness/cybersecurity-policies,https://www.cfisd.net/departments/technology-information-services/cybersecurity/cybersecurity-awareness/cybersecurity-policies,https://www.cfisd.net/departments/technology-information-services/staff,,2,0,,0,,1,ggle Close Container Toggle Menu Mobile Search Search Clear Search Mobile Main Nav Our District About CFISD Committees Administrative Staff Directory Contact CFISD Our Schools & Facilities Superintendent District Leadership Board of Trustees Bond Information Financial Information…,0,,1,ent Toggle Close Container Toggle Menu Mobile Search Search Clear Search Mobile Main Nav Our District About CFISD Committees Administrative Staff Directory Contact CFISD Our Schools & Facilities Superintendent District Leadership Board of Trustees Bond Information Financial Infor…
Northside Independent School District,TX,https://www.nisd.net/,30,Minimal Transparency,https://www.nisd.net/board,,https://www.nisd.net/contact,Missing: tech (crawl limited),2,0,,0,,1,"aster’s degree from the University of Texas at San Antonio. He has a son and daughter who are both NISD graduates. Jacob Villarreal, P.E. * Assistant Superintendent for Facilities and Operations Jacob Villarreal, P.E. was named Assistant Superintendent for Facilities and Operatio…",0,,1,aries & Buses 🍴 Cafeteria & Menus 🗓️ Calendars 📖 Course catalogs & Plans 📔 Handbooks 🎓 Graduation 👮 Safety 📚 Title 1 Learn more ‎➔ Register Contact Parents Students Community Employees Photo Gallery Northside Independent School District Previous Next Feb. 21: FIRST LEGO League Ch…
Fort Worth Independent School District,TX,https://www.fwisd.org/,30,Minimal Transparency,https://www.fwisd.org/departments/legal/fwisd-policy-administration,,https://www.fwisd.org/departments/legal/fwisd-policy-administration,Missing: tech (crawl limited),2,0,,0,,1,"nations (opens in new window/tab) Employee Link Hub Parent Portal Pre-K Public Information Requests School Finder (opens in new window/tab) Superintendent District Home Our Schools Our Schools Back to Main Site Elementary Schools Beal, Harlean Benbrook Elementary Bonnie Brae Bris…",0,,1,le IX Compliance Student Code of Conduct Video On Demand Leadership Directory (opens in new window/tab) Lone Star Governance State Workshop Contact FWISD Superintendent Leadership Directory Cabinet School Leadership High School Principals Middle School Principals Elementary Schoo…
Austin Independent School District,TX,https://www.austinisd.org/,30,Minimal Transparency,https://www.austinisd.org/technology/policy,https://www.austinisd.org/technology/policy,https://www.austinisd.org/staff,,2,0,,0,,1,ustees District & Board Policy Long-range Planning Organizational Chart Prop A Ballot Initiative Public Facility Corporation Strategic Plan Superintendent 2022 Bond Advisory Committees Our Schools Enroll Now All Schools Elementary Schools Middle Schools High Schools Pre-K Academi…,0,,1,Families Communities Staff School Resources Calendar Bus Routes Enrollment School Menus Directories Department Directory Schools Directory Staff Directory Sitemap District Resources AISD Portal Board of Trustees Careers AISD Help Superintendent Title IX Training FERPA Notificatio…
El Paso Independent School District,TX,https://www.episd.org/,30,Minimal Transparency,,https://www.episd.org/o/episd/page/it-starts-with-us,,"Missing: policy, contact (crawl limited)",2,0,,0,,1,"ct Redesign Plan School Action Dashboard School Finder Quality Seats Dashboard Facilities Dashboard DDR Building Community Message from the Superintendent Dear Members of the El Paso ISD Community, Community collaboration is essential to our pursuit of excellence, and I invite yo…",0,,1,site El Paso ISD - Staff Portal Parent Portal Search site Menu Schools Translate Sign in Menu Schools Translate Sign in General Info STAFF CONTACT LIBRARY RESOURCES SOCIAL MEDIA LINKS Fine Arts Fine Arts Office Location 2026 Documents More about El Paso ISD Fine Arts 1014 N. Stan…
San Antonio Independent School District,TX,https://www.saisd.net/,30,Minimal Transparency,https://www.saisd.net/page/parent-family-engagement-policy,,https://www.saisd.net/o/saisd/page/contact-us,Missing: tech (crawl limited),2,0,,0,,1,equired Postings Search by Home Address Superintendent of Schools Show submenu for Superintendent of Schools Cabinet Contact Superintendent Superintendent Message District Leadership Team Superintendent's Committees and Councils 2026 State of the District mySAISD Dashboard Board …,0,,1,w submenu for Gifted & Talented G/T Alumni Gifted & Talented Calendar Gifted and Talented Parent Information Teacher/Staff Information GATE Staff Directory Grants Show submenu for Grants How to Apply for a Grant Grant Training Information SAISD Foundation District Grants Resource…
Aldine Independent School District,TX,https://www.aldineisd.org/,30,Minimal Transparency,https://www.aldineisd.org/about/policies/,,https://www.aldineisd.org/optimization-letter-to-staff/,Missing: tech (crawl limited),2,0,,0,,1,"executive director, Georgina Foroi’s 21-year journey in Aldine Independent School District has come full circle — and now, statewide recognition is following. Foroi, Aldine ISD’s executive director of professional [...] Facebook 0 Tweet 0 Email 0 Disponible en: Español Blanson CT…",0,,1,27 Instructional Calendar News District Business/Community Awards Sports Board Reports School Board Event Photos Scholarships VYPE Magazine Contact Elected Officials Search for: Home Chris Labod 2026-02-16T16:03:14-06:00 Disponible en: Español Find out which school you are zoned …
Plano Independent School District,TX,https://www.pisd.edu/,30,Minimal Transparency,,,,Timed out (district budget exceeded),2,0,,0,,1,nclaimed Property Employee Travel ESSER III Plan 2024 Notice of Estimated Taxes Fine Arts & Special Academic Programs Department Home Staff Directory Food and Nutritional Services About Us Welcome to FANS Campus Contacts 2025-2026 Meal Prices Join Our Team Free & Reduced Meal Pro…,0,,1,s Frequently Asked Questions Contact US Calendar Jobs at ECCC ECCC I Employee CCC I About ECCC I Administration ECCC I Caregiver Pages ECCC Staff Directory ECCC II About ECCC II ECCC II Administration ECCC II Caregivers Pages ECCC Staff Directory PASAR About PASAR About PASAR Aft…
Katy Independent School District,TX,https://www.katyisd.org/,30,Minimal Transparency,https://www.katyisd.org/privacy-policy,https://www.katyisd.org/technology/family-technology-resources,,Timed out (district budget exceeded),2,0,,0,,1,"tadium Lane, Katy, Texas 77494 Questions regarding compliance and/or grievance procedures may be directed to the District's Section 504/ADA Coordinator as listed in Board Policy FB (EXHIBIT) . Parents, students and members of the public: 504 Administrator (281) 396-2318, 6301 Sou…",0,,1,"can participate at their own discretion. Collection and Use of Personal Data Katy ISD may use personal data for the following purposes: For Contact Purposes: To contact you by email, phone, SMS, or other forms of electronic communication, such as a mobile application's push notif…"
Fort Bend Independent School District,TX,https://www.fortbendisd.com/,30,Minimal Transparency,,,https://www.fortbendisd.com/schooldirectory,"Missing: policy, tech (crawl limited)",2,0,,0,,1,tration/Enrollment Strategic Plan District of Innovation District Planning Advisory Council District Student Health Advisory Council School Directory with Maps Bond Programs Legislative Priorities Sugar Land 95 Accountability Ratings Improvement Plan Title I Ethics Reporting/Ligh…,0,,1,"ay Annual Giving Campaign Join Team FBISD Adopt a New Teacher Today Tribute Fund Planned Giving I Would Like To... "" Apply for a FBEF Grant Contact Foundation Staff Donate Find Employee Discounts Join One Team - FBISD Employee Giving Receive a Newsletter Volunteer Grants In Actio…"
Spring Branch Independent School District,TX,https://www.springbranchisd.com/,30,Minimal Transparency,https://www.springbranchisd.com/about/board-of-trustees/policy-regulations,https://www.springbranchisd.com/about/departments/technology-services/contacts,https://www.springbranchisd.com/about/departments/technology-services/contacts,,2,0,,0,,1,"tive execution and a team that understands the responsibility of telling the story of public education well,” said Linda Buchman, associate superintendent of communications and community relations. “In a state as large and competitive as Texas, this level of recognition is signif…",0,,1,gram (opens in new window/tab) Youtube (opens in new window/tab) Vimeo (opens in new window/tab) Smugmug (opens in new window/tab) Calendar Staff Directory Let's Connect For Staff Search Clear Search A-Z index Link Back to School Link Calendars Link Canvas Link Counselors Link Fa…
Garland Independent School District,TX,https://www.garlandisd.net/,60,Emerging Governance,https://www.garlandisd.net/about/policies,https://www.garlandisd.net/programs-services/technology-support,https://www.garlandisd.net/school-operations/student-and-staff-safety,,3,1,Technology Program Handbook 1:1 Technology Program Handbook - Spanish 1:1 Technology Program Handbook - Vietnamese Artificial Intelligence Guidelines GISD Artificial Intelligence (AI) Student Guidelines Google Terms of Service agreements Terms of Service agreements for services p…,0,,1,"the leadership team. Explore About Our District The GISD Difference District Profile Performance Ratings & Reports District Map Department Directory Facility Directory Policies Mission, Vision, Values Leadership Board of Trustees Leadership Leadership Matters District initiatives…",0,,1,age Safety & Security Image Absence Management Image × Translate × × For Parents For Staff For Students Departments Newsroom Careers Enroll Contact Us Schools Quick Links Translate Search About ← Back About Get to know our district better and meet the leadership team. Explore Abo…
Arlington Independent School District,TX,https://www.aisd.net/,30,Minimal Transparency,https://www.aisd.net/wp-content/files/Clear-Bag-Policy-Flyer-Updated-Nov22.pdf,https://www.aisd.net/district/departments/technology/information-and-instructional-systems/peims-and-transfers/student-registration/,https://www.aisd.net/district/about/school-directory/,,2,0,,0,,1,"can chat in English, Spanish and Vietnamese! Ask a Question Visit the Campus Campuses are able to assist parents who do not have access to technology or need assistance with online registration. School Directory Technical Help For technical issues about your child's registration,…",0,,1,Pre-Kindergarten Transfers Volunteer Students Canvas Classlink Counselor Connection Report Bullying Student Self Serve Technology Resources Contact Programs and Services Board of Trustees Bond 2019 Registration Pre-K Kindergarten Specialized Programs Transfers Quick Links News In…
Irving Independent School District,TX,https://www.irvingisd.net/,30,Minimal Transparency,,,https://www.irvingisd.net/about-us/superintendent/contact-us,Timed out (district budget exceeded),2,0,,0,,1,ntary Thomas Haley Elementary Townley Elementary Townsell Elementary Travis Middle School Litzy Ambrocio Linares Executive Assistant to the Superintendent and Board of Trustees View Profile for Litzy Ambrocio Linares Magda Hernandez Superintendent of School View Profile for Magda…,0,,1,Who to Call District Improvement Committee Superintendent About the Superintendent Central Office Organizational Chart District Leadership Contact Us District Event Leadership Request Form (opens in new window/tab) District Leadership District Event Leadership Request Required Po…
Round Rock Independent School District,TX,https://roundrockisd.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Frisco Independent School District,TX,https://www.friscoisd.org/,30,Minimal Transparency,https://www.friscoisd.org/about/board-of-trustees,,https://www.friscoisd.org/about/resources-and-information/staff-email-search,Missing: tech (crawl limited),2,0,,0,,1,bout Departments Schools Employment Search Parents Students Partners Staff Parents Students Staff Spotlight Tuition-Based Pre-K Frisco Flex Superintendent Search Access Frisco Join Our Team Enroll with FISD Financial Transparency Board of Trustees Events Feb 10 Student Transfer W…,0,,1,"and need. 5515 Ohio Drive Frisco, Texas 75035 Phone 469.633.6000 Fax 469.633.6050 © 2022 Frisco Independent School District Site Feedback | Contact Us | Accessibility | Legal Notices | Staff Password Reset Staff Email Search Skip to Main Content Toggle navigation News About Depar…"
Lewisville Independent School District,TX,https://www.lisd.net/,30,Minimal Transparency,https://www.lisd.net/our-district/all-departments/website/privacy-policy,,https://www.lisd.net/resources/staff,Missing: tech (crawl limited),2,0,,0,,1,"ature, districts are now required to implement certain security measures. Beginning September 1, 2019, districts must: Designate a security coordinator Adopt a cybersecurity policy Report any breach of student personally identifiable data to the Texas Education Agency (TEA) The L…",0,,1,ub (opens in new window/tab) LISD Connect (opens in new window/tab) LPAC (opens in new window/tab) OneDrive (opens in new window/tab) Phone Directory (opens in new window/tab) Professional Learning Qualtrics (opens in new window/tab) Recognize Someone Records Management (opens in…
Richardson Independent School District,TX,https://web.risd.org/,10,No Public AI Governance Signals,https://web.risd.org/home/parent-and-family-engagement-policy/,,https://web.risd.org/staff/,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,"eacher Incentive Allotment The TIA program provides additional funding to increase salaries for highly effective teachers Sponsored Content Contact Us 400 S. Greenville Ave., Richardson TX 75081 469-593-0000 Llame y presione 2 para español risd@risd.org 400 S. Greenville Ave., Ri…"
Humble Independent School District,TX,https://www.humbleisd.net/,10,No Public AI Governance Signals,https://www.humbleisd.net/o/humbleisd/page/board,,https://www.humbleisd.net/o/humbleisd/page/staff-resources,Missing: tech (crawl limited),1,0,,0,,0,,0,,1,"e ISD 10203 Birchridge Drive Humble, TX 77338 Phone: 281-641-1000 Fax: 281-641-1050 HumbleISD_Connect@humbleisd.net Resources Accessibility Contact Fraud Hotline Tax Office Weather Updates iHELP iHELP Information Humble ISD on Bullying Stay Connected Copyright © 2026 Humble ISD. …"
Klein Independent School District,TX,https://www.kleinisd.net/,30,Minimal Transparency,,,https://www.kleinisd.net/o/kisd/staff,"Missing: policy, tech (crawl limited)",2,0,,0,,1,"e on a $100,000 home by approximately $30. Copyright © 2026 Klein ISD. All rights reserved. Powered By Apptegy Visit us to learn more Staff Directory | Klein ISD Skip to content Klein ISD - Translate Search site Sign in Menu Schools Enroll Careers KeepKleinSafe Klein ISD Staff Di…",0,,1,"service on a $100,000 home by approximately $30. Copyright © 2026 Klein ISD. All rights reserved. Powered By Apptegy Visit us to learn more Staff Directory | Klein ISD Skip to content Klein ISD - Translate Search site Sign in Menu Schools Enroll Careers KeepKleinSafe Klein ISD St…"
Pasadena Independent School District,TX,https://www.pasadenaisd.org/,30,Minimal Transparency,https://www.pasadenaisd.org/stadium-policies,,https://www.pasadenaisd.org/administration,Missing: tech (crawl limited),2,0,,0,,1,lopment Research and Evaluation Science Social Studies Special Education Student Assessment Athletics Athletics Box Office-Tickets Athletic Directors and Coordinators Athletics Facilities Schedules - Rank One Forms and Other Links Livestream Games 2024-2025 Physicals Stadium Poli…,0,,1,oundation Tegeler Community School The Summit FLEx Powered by PVS Popular Links Staff Portal Anonymous Alerts Now Hiring Student Enrollment Contact Classlink Portal Search Home Our District About Pasadena ISD Administration Superintendent School Board Board of Trustees 2025-2026 …
Conroe Independent School District,TX,https://www.conroeisd.net/,30,Minimal Transparency,,https://www.conroeisd.net/o/cisd/page/technology,https://www.conroeisd.net/o/cisd/page/contactus,Missing: policy (crawl limited),2,0,,0,,1,Home | Conroe ISD Skip to content Conroe ISD - Explore School Directory Translate Search site Sign in Skip Gallery Your browser does not support videos. End of Gallery About Parents/Students Employees Careers Transportation Complian…,0,,1,"tion is their smartphones. Our school app make it easy for you to access essential information like events, lunch menus, homework and more. Contact CISD 3205 W. Davis St. Conroe, TX 77304 Main Phone: (936) 709-7752 Transportation: (936) 709-7940 Fax: (936) 709-9787 About Board of…"
Pearland Independent School District,TX,https://www.pearlandisd.org/,30,Minimal Transparency,https://www.pearlandisd.org/departments/food-service/meal-accounts-charging-policy,https://www.pearlandisd.org/departments/cte/career-path/arts-av-technology-and-communications/teacher-contacts,https://www.pearlandisd.org/departments/cte/career-path/arts-av-technology-and-communications/teacher-contacts,,2,0,,0,,1,Page Mission Statement Model-Nurture-Share Back to Basics Parent Forums Berger Bulletin World-Class Goals Podcast District Improvement Plan Superintendent Contract C&I Audit Superintendent Student Ambassador Program Mission Statement Our District Our District Campus District Enro…,0,,1,Nutrition Allergy Information Staff Parent Information Información Para Padres Internal Documents Catering Health Services Health Services Contact Us Current Issues Vaccinations Immunizations When to Keep Your Child Home Medication Student Health Conditions Food Allergies State-M…
McKinney Independent School District,TX,https://www.mckinneyisd.net/,30,Minimal Transparency,https://www.mckinneyisd.net/page/board-meeting-schedule,,https://www.mckinneyisd.net/page/faculty-staff,Missing: tech (crawl limited),2,0,,0,,1,"contact you in response to your question. If you need to contact one of our campuses, you can find campus contact information on our Campus Directory page in the About MISD section of this website. McKinney ISD | Home Skip to content McKinney ISD - Menu Schools Translate Search s…",0,,1,"onsider it a true privilege to lead the MISD family."" Shawn Pratt, MISD Superintendent SSO Portal CAREERS ENROLLMENT EFAC Board of Trustees Contact US McKinney ISD DISTRICT Goals Design systems for safety and security to meet the needs of our school community. Ensure a guaranteed…"
Denton Independent School District,TX,https://www.dentonisd.org/,30,Minimal Transparency,https://www.dentonisd.org/our-district/departments-services/technology/acceptable-use-policy-guidelines,https://www.dentonisd.org/our-district/departments-services/technology/acceptable-use-policy-guidelines,https://www.dentonisd.org/our-district/departments-services/career-technology-education/meet-our-staff,,2,0,,0,,1,ning Guides (opens in new window/tab) Non-Discrimination Policy (opens in new window/tab) Child Nutrition CNP Home Meal Prices & Menus Café Directory Meet Our Team Calendar Meal Policy CEP FAQ Citizens' Advisory Committee 2022 Communications Emergency Communications Media Inquiri…,0,,1,dget Tax Rate Engage Adult Education & Literacy NTAEL Home About NTAEL Program Information ESL Classes HSE/GED Classes Job Training Classes Contact Us For Staff (opens in new window/tab) Benefits DISD Benefits Employee Wellness Center Leave of Absence Retirement Plans Workers' Co…
Mesquite Independent School District,TX,https://www.mesquiteisd.org/,30,Minimal Transparency,,https://www.mesquiteisd.org/technology-plan,https://www.mesquiteisd.org/contact-us,Missing: policy (crawl limited),2,0,,0,,1,nes Calendar Facility Locations Feeder Patterns Mesquite ISD News Required Postings Required Postings Parental Rights Strategic Plan Campus Directory What We Believe Mesquite Promise Profile of a Learner Connect with Us Mesquite 125th Leadership Board of Trustees Board of Trustee…,0,,1,y Central Administration Photo Directory Employee Assistance Program Forms MEA Staff Portal Staff Wellness Teacher Incentive Allotment MISD Staff Directory ParentSquare for Admin Community Schools Popular Links High Schools John Horn High School Mesquite Academy North Mesquite Hi…
Killeen Independent School District,TX,https://www.killeenisd.org/,30,Minimal Transparency,,,https://www.killeenisd.org/o/kisd/page/staff,"Missing: policy, tech (crawl limited)",2,0,,0,,1,"employees a month during the school year, surprising recipients in the midst of the workplace. “I was speechless,” he said of the day that Superintendent King Davis led a group of leaders to present him with the award. “It was a really, cool moment. I don’t need the accolades and…",0,,1,"s and Departments Translate Menu Schools and Departments Translate Skip Gallery End of Gallery About Us Fine Arts Director: Morganne Davies Contact Us: 902 N. 10th St. Killeen, TX 76541 Phone: 254-336-6300 band & orchestra choir elementary music dance theatre visual art Find Us F…"
